분류,평가항목,만점,최소점수
기획,문제 정의를 통해 서비스의 필요성을 분석하였는가?,5,0
기획,문제 정의를 통해 요구사항 분석이 이루어지고 있는가?,5,0
기획,기획 문서를 양식에 맞게 구체적으로 작성하였는가?,5,0
설계,구현하고자 하는 서비스에 적절한 기술 스택을 도입하였는가?,5,0
설계,추후에 추가될 기능에 대한 서비스 확장성을 고려하였는가?,5,0
설계,서비스에 적절한 아키텍처를 설계하고 구현하였는가?,5,0
AI,지속적인 모델 성능 검증 및 결과 분석을 통해 품질 개선을 위해 노력을 하였는가?,5,0
AI,비동기 처리를 활용하여 모델 학습 및 추론 성능을 개선하고자 하였는가?,5,0
AI,동일 입력에서 결과 편차 최소화 하였는가?,5,0
AI,사용자 피드백 반영 구조를 구현하고 지속적인 모델 개선에 이용하고 있는가?,5,0
UI/UX,사용자 편의성을 고려하여 화면의 흐름을 구성하였는가?,5,0
UI/UX,모든 사용자가 일관된 서비스 사용 경험을 가질 수 있도록 구성하였는가?,5,0
UI/UX,사용자가 3~5회 이내의 액션을 통해 원하는 메뉴에 접근할 수 있도록 설계되어 있는가?,5,0
API,전체 API의 성능이 P95 Latency가 3초 이내로 수렴하는가?,5,0
API,각 API의 HTTP Method에 따라 기능 분리가 이루어지고 있는가?,5,0
API,배포 및 운영 환경에서도 안정적으로 기능하고 있는가?,5,0
API,서비스에 적합한 인증 / 인가 방식을 통해 보안을 유지하고 있는가?,5,0
API,비동기 처리를 통해 서버의 응답 속도를 높이고 리소스 사용 효율을 향상시키고 있는가?,5,0
협업,팀 내에서 구체적인 기준을 두고 역할 분담을 통해 작업이 이루어졌는가?,5,0
협업,"개발 협업을 위해 Git, Github, Jira 등의 협업 도구를 적절히 이용하였는가?",5,0
