output_table	column	type	source_table	source_columns	join_keys	transform	window	leakage_note
train_user_day_nowcast	user_id	string	daily_state	user_id	user_id,date	base grid		
train_user_day_nowcast	date	date	daily_state	date	user_id,date	base grid		
train_user_day_nowcast	dep_target_proxy_0_100	float	daily_state	dep_proxy_0_100	user_id,date	rename(dep_proxy_0_100 -> dep_target_proxy_0_100)		label(관측 proxy); 결측 가능
train_user_day_nowcast	anx_target_proxy_0_100	float	daily_state	anx_proxy_0_100	user_id,date	rename(anx_proxy_0_100 -> anx_target_proxy_0_100)		label(관측 proxy); 결측 가능
train_user_day_nowcast	ins_target_proxy_0_100	float	daily_state	ins_proxy_0_100	user_id,date	rename(ins_proxy_0_100 -> ins_target_proxy_0_100)		label(관측 proxy); 결측 가능
train_user_day_nowcast	dep_target_observed_flag	int	daily_state	dep_target_proxy_0_100	user_id,date	1 if dep_target_proxy_0_100 not null else 0		
train_user_day_nowcast	anx_target_observed_flag	int	daily_state	anx_target_proxy_0_100	user_id,date	1 if anx_target_proxy_0_100 not null else 0		
train_user_day_nowcast	ins_target_observed_flag	int	daily_state	ins_target_proxy_0_100	user_id,date	1 if ins_target_proxy_0_100 not null else 0		
train_user_day_nowcast	day_of_week	int	date	date	user_id,date	weekday(date) (Mon=0..Sun=6)		
train_user_day_nowcast	is_weekend	int	date	date	user_id,date	1 if day_of_week>=5 else 0		
train_user_day_nowcast	age_band	string	users	age_band	user_id,date	left join on user_id		
train_user_day_nowcast	gender	string	users	gender	user_id,date	left join on user_id		
train_user_day_nowcast	employment_status	string	users	employment_status	user_id,date	left join on user_id		
train_user_day_nowcast	relationship_status	string	users	relationship_status	user_id,date	left join on user_id		
train_user_day_nowcast	days_since_onboarding	int	users	onboarding_date,date	user_id,date	days(date - onboarding_date)		
train_user_day_nowcast	phq9_total	int	baseline_assessment	phq9_total	user_id,date	left join on user_id (earliest assessed_at)		
train_user_day_nowcast	gad7_total	int	baseline_assessment	gad7_total	user_id,date	left join on user_id (earliest assessed_at)		
train_user_day_nowcast	isi_total	float	baseline_assessment	isi_total	user_id,date	left join on user_id (earliest assessed_at)		
train_user_day_nowcast	medication_flag	float	baseline_assessment	medication_flag	user_id,date	left join on user_id (earliest assessed_at)		
train_user_day_nowcast	therapy_flag	float	baseline_assessment	therapy_flag	user_id,date	left join on user_id (earliest assessed_at)		
train_user_day_nowcast	steps_today	float	activity_log	steps	user_id,date	groupby(user_id,date) mean		
train_user_day_nowcast	exercise_minutes_today	float	activity_log	exercise_minutes	user_id,date	groupby(user_id,date) mean		
train_user_day_nowcast	daylight_minutes_today	float	activity_log	daylight_minutes	user_id,date	groupby(user_id,date) mean		
train_user_day_nowcast	screen_time_min_today	float	activity_log	screen_time_min	user_id,date	groupby(user_id,date) mean		
train_user_day_nowcast	meal_regularity_0_10_today	float	activity_log	meal_regularity_0_10	user_id,date	groupby(user_id,date) mean		
train_user_day_nowcast	caffeine_after_2pm_flag_today	float	sleep_log	caffeine_after_2pm_flag	user_id,date	groupby(user_id,date) mean		
train_user_day_nowcast	alcohol_flag_today	float	sleep_log	alcohol_flag	user_id,date	groupby(user_id,date) mean		
train_user_day_nowcast	cbt_sessions_today	float	cbt_session	started_at + session fields	user_id,date	date=floor(started_at); groupby(user_id,date) agg		
train_user_day_nowcast	cbt_duration_sec_mean_today	float	cbt_session	started_at + session fields	user_id,date	date=floor(started_at); groupby(user_id,date) agg		
train_user_day_nowcast	cbt_thought_count_mean_today	float	cbt_session	started_at + session fields	user_id,date	date=floor(started_at); groupby(user_id,date) agg		
train_user_day_nowcast	belief_drop_mean_today	float	cbt_session	started_at + session fields	user_id,date	date=floor(started_at); groupby(user_id,date) agg		
train_user_day_nowcast	emotion_drop_mean_today	float	cbt_session	started_at + session fields	user_id,date	date=floor(started_at); groupby(user_id,date) agg		
train_user_day_nowcast	reframe_quality_mean_today	float	cbt_session	started_at + session fields	user_id,date	date=floor(started_at); groupby(user_id,date) agg		
train_user_day_nowcast	homework_commitment_mean_today	float	cbt_session	started_at + session fields	user_id,date	date=floor(started_at); groupby(user_id,date) agg		
